,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
500,Aerospace & Defense,Safety & Security Research - Senior Research Scientist (Criminal Justice Focus),3.3,$100 to $500 million (USD),Aerospace & Defense,501 to 1000 employees,Nonprofit Organization,0,0,72,94,83.0,CNA Corporation,Remote,Arlington,0,78,0,0,0,1,1,0,0
501,Insurance Carriers,Data Analyst III,3.0,$2 to $5 billion (USD),Insurance,5001 to 10000 employees,Company - Public,0,0,72,94,83.0,National General Insurance,Orlando,New York,0,81,1,0,0,0,1,1,0
502,Computer Hardware & Software,Principal Data Engineer,3.6,$100 to $500 million (USD),Information Technology,201 to 500 employees,Company - Public,0,0,72,94,83.0,Absolute,Denver,Vancouver,0,27,1,0,1,1,0,0,0
503,Enterprise Software & Network Solutions,Senior Data Engineer,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,72,94,83.0,Novetta,Herndon,Mc Lean,0,8,1,0,1,0,1,0,1
504,Enterprise Software & Network Solutions,Senior Manager of Data Science - Operations,3.7,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,72,94,83.0,Guild Education,Denver,Denver,1,5,1,0,0,0,1,0,0
505,Construction,ENVIRONMENTAL ENGINEER/SCIENTIST,3.3,Unknown / Non-Applicable,"Construction, Repair & Maintenance",1 to 50 employees,Company - Private,0,0,72,94,83.0,Mcphail Associates,Cambridge,Cambridge,1,44,0,0,0,0,1,0,0
506,Insurance Carriers,Senior Healthcare Data Analyst - Contract Modeling Exp A Plus!,2.8,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Nonprofit Organization,0,0,72,94,83.0,Fallon Health,Worcester,Worcester,1,43,0,0,0,1,1,0,0
507,Religious Organizations,Data Engineer 5 - Contract,4.1,Unknown / Non-Applicable,Non-Profit,10000+ employees,Nonprofit Organization,0,0,72,94,83.0,The Church of Jesus Christ of Latter-day Saints,Riverton,Salt Lake City,0,-1,0,0,0,0,1,1,1
508,Insurance Carriers,Senior Risk Adjustment Data Engineer,3.2,$1 to $2 billion (USD),Insurance,501 to 1000 employees,Nonprofit Organization,0,0,72,94,83.0,Neighborhood Health Plan of RI,Smithfield,Smithfield,1,26,0,0,0,1,1,0,0
509,Publishing,"Data Engineer, Ad Technology",4.7,Unknown / Non-Applicable,Media,51 to 200 employees,Company - Private,0,0,72,94,83.0,Health Union,Philadelphia,Philadelphia,1,11,1,0,1,1,1,0,0
510,Biotech & Pharmaceuticals,Data Scientist,3.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,65,125,95.0,Concerto HealthAI,New York,Boston,0,2,1,0,1,0,0,1,1
511,Banks & Credit Unions,(Sr.) Data Scientist -,3.6,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,65,125,95.0,Merrick Bank,Utah,South Jordan,0,23,1,0,0,1,1,0,1
512,Telecommunications Services,Data Engineer - MAX,2.7,$5 to $10 billion (USD),Telecommunications,501 to 1000 employees,Subsidiary or Business Segment,0,0,65,125,95.0,TracFone Wireless,Miami,Miami,1,24,1,0,1,1,0,0,0
513,Consulting,Cloud Data Engineer,4.4,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,65,125,95.0,Maven Wave Partners,Chicago,Chicago,1,12,1,0,1,1,1,0,0
514,Biotech & Pharmaceuticals,Senior Research Scientist Clinical Genetics and Genomics,3.9,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,65,125,95.0,Bristol-Myers Squibb,Hopewell,New York,0,162,0,0,0,0,1,0,0
515,Insurance Carriers,"Senior Director, Trusted Artificial Intelligence - Office of Data Science",3.4,$10+ billion (USD),Insurance,10000+ employees,Company - Private,0,0,65,125,95.0,Liberty Mutual Insurance,Boston,Boston,1,108,0,0,0,0,0,0,1
516,Aerospace & Defense,Applied Computer Scientist,4.5,$100 to $500 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,65,125,95.0,Systems & Technology Research,Woburn,Woburn,1,10,0,0,0,0,0,0,0
517,Enterprise Software & Network Solutions,Senior Data Engineer,4.6,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,65,125,95.0,A Cloud Guru,Austin,Austin,1,5,1,0,0,1,0,0,0
518,Health Care Services & Hospitals,"Associate Scientist Pharmacometrics, Clinical PKPD-QSP Modeling and Simulation",4.2,$100 to $500 million (USD),Health Care,501 to 1000 employees,Company - Public,0,0,65,125,95.0,"Tabula Rasa HealthCare, Inc",Orlando,Moorestown,0,11,0,0,0,0,0,0,0
519,-1,"Senior Scientist, Computational Biology",3.9,Unknown / Non-Applicable,-1,1001 to 5000 employees,Nonprofit Organization,0,0,65,125,95.0,Icahn School of Medicine at Mount Sinai,New York,New York,1,-1,1,0,0,0,1,0,1
520,Health Care Services & Hospitals,"Lead Certified Clinical Laboratory Scientist - Tuesday - Friday, 8:00pm - 6:30am shift - $3,000 sign on bonus!",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,65,125,95.0,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
521,Lending,Senior Data Engineer,4.6,Unknown / Non-Applicable,Finance,201 to 500 employees,Company - Private,0,0,65,125,95.0,Loanpal,Roseville,Roseville,1,7,1,0,1,1,1,0,0
522,Health Care Services & Hospitals,"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift - $3,000 sign on bonus!",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,65,125,95.0,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
523,Health Care Products Manufacturing,Sr. Compliance Data Analyst,3.9,$1 to $2 billion (USD),Manufacturing,1001 to 5000 employees,Company - Private,0,0,65,125,95.0,Arthrex,Naples,Naples,1,39,0,0,0,1,1,1,0
524,-1,"Senior Scientist - Group Lead, Cancer Biology",-1.0,-1,-1,-1,-1,0,0,65,125,95.0,Monte Rosa Therapeutics,Cambridge,-1,0,-1,0,0,0,0,1,0,0
525,Consumer Products Manufacturing,Sr. Tech Svc Scientist (I),2.9,$2 to $5 billion (USD),Manufacturing,1001 to 5000 employees,Company - Private,0,0,65,125,95.0,The Nature's Bounty Co.,Prescott,Ronkonkoma,0,49,0,0,0,0,1,0,0
526,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,65,125,95.0,Southwest Research Institute,San Antonio,San Antonio,1,73,1,0,0,0,1,0,0
527,Federal Agencies,Senior Research Scientist – Security and Privacy,3.4,$50 to $100 million (USD),Government,501 to 1000 employees,Nonprofit Organization,0,0,65,125,95.0,Riverside Research Institute,Crystal City,Arlington,0,53,0,0,0,0,0,0,1
528,Insurance Carriers,Principal Data & Analytics Platform Engineer,3.7,$5 to $10 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,65,125,95.0,Blue Cross and Blue Shield of North Carolina,Durham,Durham,1,87,1,0,1,1,1,0,0
529,Biotech & Pharmaceuticals,Head of Real-World Data Science,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,0,0,65,125,95.0,Genesis Research,Hoboken,Hoboken,1,11,0,0,0,0,1,0,0
530,IT Services,Data Scientist - TS/SCI FSP or CI Required,5.0,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,65,125,95.0,Phoenix Operations Group,Annapolis Junction,Woodbine,0,9,1,0,1,0,0,0,1
531,Biotech & Pharmaceuticals,Senior Scientist - Biochemistry,3.4,$10 to $25 million (USD),Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,65,125,95.0,Reaction Biology,Malvern,Malvern,1,19,0,0,0,0,1,0,0
532,Research & Development,COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,65,125,95.0,Southwest Research Institute,Dayton,San Antonio,0,73,1,0,0,0,1,0,0
533,Aerospace & Defense,"Machine Learning Engineer, Sr.",4.2,$100 to $500 million (USD),Aerospace & Defense,501 to 1000 employees,Company - Public,0,0,65,125,95.0,AeroVironment,Simi Valley,Simi Valley,1,49,1,0,0,1,1,0,1
534,Health Care Services & Hospitals,"Clinical Laboratory Scientist I - Saturday - Tuesday, 8:00pm - 6:30am shift - Full & Part-Time Opportunities Available",4.0,$100 to $500 million (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,65,125,95.0,Exact Sciences Corporation,Madison,Madison,1,25,0,0,0,0,0,0,0
535,Internet,Senior Claims Data Analyst,2.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,65,125,95.0,Healthgrades,Austin,Denver,0,22,0,0,0,0,1,1,0
536,Lending,Senior Data Architect,3.5,$500 million to $1 billion (USD),Finance,1001 to 5000 employees,Company - Private,0,0,65,125,95.0,Exeter Finance,Irving,Irving,1,14,0,0,0,1,0,0,0
537,Biotech & Pharmaceuticals,Associate Scientist/Scientist – Analytical Chemistry,3.7,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,65,125,95.0,Karyopharm Therapeutics Inc.,Newton,Newton,1,-1,0,0,0,0,0,0,0
538,Enterprise Software & Network Solutions,Senior Machine Learning Engineer,5.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,65,125,95.0,LifeOmic,Raleigh,Indianapolis,0,4,0,0,1,1,0,0,1
539,Energy,Senior Data Scientist 4 - Artificial Intelligence,3.8,$500 million to $1 billion (USD),"Oil, Gas, Energy & Utilities",1001 to 5000 employees,Government,0,0,65,125,95.0,PNNL,Richland,Richland,1,55,0,0,0,0,0,0,1
540,Research & Development,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,4.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Nonprofit Organization,0,0,65,125,95.0,Southwest Research Institute,Oklahoma City,San Antonio,0,73,1,0,0,0,1,0,0
541,Biotech & Pharmaceuticals,Sr. Scientist / Sr. Engineer Manufacturing Science and Technology,3.7,$1 to $5 million (USD),Biotech & Pharmaceuticals,501 to 1000 employees,Company - Public,0,0,65,125,95.0,Moderna Therapeutics,Norwood,Cambridge,0,9,0,0,0,0,0,0,0
542,Enterprise Software & Network Solutions,Data Scientist,4.2,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,101,165,133.0,Novetta,Herndon,Mc Lean,0,8,1,0,0,1,1,0,1
543,Staffing & Outsourcing,Senior Data Scientist,3.1,$500 million to $1 billion (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,101,165,133.0,Group O,Chicago,Milan,0,46,1,0,0,0,0,0,1
544,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,101,165,133.0,Fashion Nova - Careers,Vernon,-1,0,-1,1,0,0,0,0,0,0
545,Biotech & Pharmaceuticals,"Principal Data Scientist, Bioinformatics",4.1,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,101,165,133.0,Roche,Santa Clara,Basel,0,124,1,0,0,0,0,0,1
546,Enterprise Software & Network Solutions,Data Research Scientists,5.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,101,165,133.0,CyberCube,San Francisco,San Francisco,1,-1,0,0,0,0,0,0,1
547,Internet,"Senior Data Scientist, Programmatic",3.6,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,101,165,133.0,DoubleVerify,New York,New York,1,12,1,0,1,1,0,0,1
548,Transportation Management,Data Scientist,3.7,$10+ billion (USD),Transportation & Logistics,10000+ employees,Company - Public,0,0,101,165,133.0,XPO Logistics,High Point,Greenwich,0,9,1,0,0,0,0,0,1
549,Health Care Services & Hospitals,Data Engineer - Machine Learning,3.3,$500 million to $1 billion (USD),Health Care,1001 to 5000 employees,Company - Private,0,0,101,165,133.0,Johns Hopkins Health Care,Hanover,Baltimore,0,131,1,0,1,1,0,0,1
550,Biotech & Pharmaceuticals,Data Scientist,3.5,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,101,165,133.0,Thermo Fisher Scientific,Needham,Waltham,0,118,0,0,0,0,1,1,0
551,State & Regional Agencies,Data Analyst,2.6,$50 to $100 million (USD),Government,51 to 200 employees,Government,0,0,101,165,133.0,Washington Health Benefit Exchange,Olympia,Olympia,1,8,0,0,0,0,1,1,0
552,Staffing & Outsourcing,Data Scientist,3.8,$2 to $5 billion (USD),Business Services,1001 to 5000 employees,Subsidiary or Business Segment,0,0,101,165,133.0,Apex Systems,Washington,Glen Allen,0,25,1,0,0,0,0,0,1
553,Computer Hardware & Software,Data Scientist,3.8,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,101,165,133.0,"CliniComp, Intl.",San Diego,San Diego,1,37,1,0,0,0,0,0,1
554,Staffing & Outsourcing,Data Scientist,5.0,Unknown / Non-Applicable,Business Services,1 to 50 employees,Company - Private,0,0,101,165,133.0,LaBine & Associates,Brooklyn,San Mateo,0,7,1,0,1,0,0,0,0
555,Computer Hardware & Software,Data Scientist,4.3,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,101,165,133.0,Green Key Technologies,Chicago,Chicago,1,6,0,0,0,0,0,0,1
556,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,1 to 50 employees,Unknown,0,0,101,165,133.0,Sophinea,Chantilly,-1,0,-1,0,0,0,0,0,0,0
557,Video Games,Data Scientist,3.7,$1 to $2 billion (USD),Media,1001 to 5000 employees,Company - Public,0,0,101,165,133.0,Take-Two,New York,New York,1,27,1,0,1,1,1,1,1
558,Advertising & Marketing,Data Scientist,3.2,Unknown / Non-Applicable,Business Services,501 to 1000 employees,Subsidiary or Business Segment,0,0,101,165,133.0,RAPP,New York,New York,1,55,1,0,1,0,0,0,1
559,IT Services,Data Scientist,3.8,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,101,165,133.0,PTP,Gold River,San Francisco,0,16,0,0,0,1,1,0,1
560,Biotech & Pharmaceuticals,Data Scientist,4.0,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Public,0,0,101,165,133.0,AstraZeneca,Gaithersburg,Cambridge,0,107,1,0,1,1,0,0,1
561,"Department, Clothing, & Shoe Stores",Data Scientist,3.5,$10+ billion (USD),Retail,10000+ employees,Company - Public,0,0,101,165,133.0,TJX Companies,Framingham,Framingham,1,44,1,0,0,0,1,1,1
562,Architectural & Engineering Services,Data Scientist,3.7,$2 to $5 billion (USD),Business Services,10000+ employees,Company - Public,0,0,101,165,133.0,Tetra Tech,Washington,Pasadena,0,54,0,0,0,0,0,0,1
563,Staffing & Outsourcing,Data Scientist,3.9,$25 to $50 million (USD),Business Services,51 to 200 employees,Company - Private,0,0,101,165,133.0,Enterprise Solutions Inc,Sunnyvale,Naperville,0,20,1,0,0,0,1,0,1
564,Advertising & Marketing,Data Scientist,3.4,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,0,0,101,165,133.0,TECHNOCRAFT Solutions,San Ramon,Hilliard,0,-1,1,0,0,0,0,0,1
565,Architectural & Engineering Services,Data Scientist,3.8,$1 to $2 billion (USD),Business Services,5001 to 10000 employees,Company - Private,0,0,101,165,133.0,Burns & McDonnell,Kansas City,Kansas City,1,122,1,0,0,0,1,0,1
566,IT Services,Data Scientist,4.0,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,101,165,133.0,Kairos Technologies,Keene,Irving,0,17,1,0,0,0,0,0,0
567,Wholesale,Data Scientist,2.6,Unknown / Non-Applicable,Business Services,5001 to 10000 employees,Company - Private,0,0,101,165,133.0,Kehe,Naperville,Naperville,1,66,1,0,1,1,1,1,1
568,Enterprise Software & Network Solutions,Data Scientist,4.5,$1 to $5 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,101,165,133.0,B.E.A.T.,San Antonio,San Antonio,1,12,1,0,1,0,0,0,1
569,-1,Data Scientist,4.1,$10 to $25 million (USD),-1,201 to 500 employees,Company - Private,0,0,101,165,133.0,IntelliPro Group Inc.,Santa Clara,Santa Clara,1,-1,1,0,0,0,1,0,1
570,Food & Beverage Manufacturing,Food Scientist,2.5,$5 to $10 billion (USD),Manufacturing,10000+ employees,Company - Public,0,0,101,165,133.0,TreeHouse Foods,Downers Grove,Oak Brook,0,15,0,0,0,0,1,0,0
571,Staffing & Outsourcing,Data Scientist,3.1,$25 to $50 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,101,165,133.0,Huxley,San Francisco,London,0,25,1,0,0,0,0,0,1
572,Telecommunications Services,Data Scientist,4.9,Unknown / Non-Applicable,Telecommunications,1 to 50 employees,Company - Private,0,0,101,165,133.0,B E A T LLC,San Antonio,Plantation,0,-1,1,0,1,0,0,0,1
573,Lending,Data Scientist,4.0,$100 to $500 million (USD),Finance,201 to 500 employees,Company - Private,0,0,101,165,133.0,Biz2Credit Inc,New York,New York,1,13,0,0,0,0,1,0,0
574,Computer Hardware & Software,Data Scientist,4.7,$25 to $50 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,90,124,107.0,Oversight Systems,Atlanta,Atlanta,1,17,1,0,0,0,1,0,1
575,Federal Agencies,AI Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,90,124,107.0,MITRE,McLean,Bedford,0,62,1,0,0,0,0,0,1
576,Internet,Data Scientist,3.8,Unknown / Non-Applicable,Information Technology,10000+ employees,Company - Private,0,0,90,124,107.0,ByteDance,Mountain View,Beijing,0,8,1,0,1,0,0,0,1
577,Computer Hardware & Software,Data Scientist,3.0,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,90,124,107.0,Riverbed Technologies,Remote,San Francisco,0,18,1,0,1,1,0,0,1
578,Colleges & Universities,Data Scientist,4.4,$10 to $25 million (USD),Education,1001 to 5000 employees,College / University,0,0,90,124,107.0,UNC Greensboro,Greensboro,Greensboro,1,129,0,0,0,0,0,0,0
579,Real Estate,Data Scientist,-1.0,Unknown / Non-Applicable,Real Estate,1 to 50 employees,Company - Private,0,0,90,124,107.0,Divvy Homes,San Francisco,San Francisco,1,-1,1,0,0,0,0,0,1
580,Internet,Data Scientist,2.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,90,124,107.0,Healthgrades,Remote,Denver,0,22,1,0,1,0,0,0,0
581,Motion Picture Production & Distribution,Data Scientist,3.7,Unknown / Non-Applicable,Media,1001 to 5000 employees,Subsidiary or Business Segment,0,0,90,124,107.0,Audible,Newark,Newark,1,25,1,0,0,1,0,0,1
582,Consulting,Data Scientist,4.0,$1 to $5 million (USD),Business Services,1 to 50 employees,Company - Private,0,0,90,124,107.0,"Latitude, Inc.",Washington,Hanover,0,-1,1,0,0,0,0,1,1
583,Aerospace & Defense,Data Scientist,4.0,$1 to $2 billion (USD),Aerospace & Defense,1001 to 5000 employees,Nonprofit Organization,0,0,90,124,107.0,The Aerospace Corporation,El Segundo,El Segundo,1,60,1,0,0,0,0,0,1
584,-1,Data Scientist,-1.0,Unknown / Non-Applicable,-1,Unknown,Company - Private,0,0,90,124,107.0,Techstra Solutions,Pittsburgh,Pittsburgh,1,-1,1,0,0,0,1,0,0
585,IT Services,Data Scientist,-1.0,Unknown / Non-Applicable,Information Technology,1 to 50 employees,Company - Private,0,0,90,124,107.0,Evolvinc,Burbank,Los Angeles,0,15,1,0,1,1,1,0,1
586,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,90,124,107.0,Common App,Washington,-1,0,-1,1,0,0,0,0,1,0
587,IT Services,Data Scientist,3.5,$5 to $10 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,90,124,107.0,CALNET,Capital Hill,Reston,0,31,1,0,0,1,0,0,0
589,Consulting,Data Scientist,3.4,$100 to $500 million (USD),Business Services,501 to 1000 employees,Company - Private,0,0,90,124,107.0,"Koniag, Inc.",Schofield Barracks,Kodiak,0,-1,1,0,0,1,1,0,1
590,IT Services,Data Scientist,-1.0,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,90,124,107.0,B4Corp,Reston,Leesburg,0,-1,1,0,0,0,1,0,1
591,Aerospace & Defense,Data Scientist,3.6,$2 to $5 billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,90,124,107.0,CACI International,Austin,Arlington,0,58,1,0,0,0,0,0,1
592,IT Services,Data Scientist,3.1,$5 to $10 million (USD),Information Technology,1 to 50 employees,Contract,0,0,90,124,107.0,Federal Data Systems,Arlington,Linthicum,0,-1,0,0,0,1,1,0,1
593,Staffing & Outsourcing,Data Scientist,4.9,$25 to $50 million (USD),Business Services,51 to 200 employees,Company - Private,0,0,90,124,107.0,Jobot,Irvine,Irvine,1,2,1,0,0,0,1,1,0
594,Research & Development,Data Scientist,4.1,Unknown / Non-Applicable,Business Services,1001 to 5000 employees,Subsidiary or Business Segment,0,0,90,124,107.0,Scientific Research,Fort Belvoir,New Delhi,0,-1,0,0,0,0,1,0,0
595,Publishing,Data Scientist,4.7,Less than $1 million (USD),Media,Unknown,Company - Private,0,0,90,124,107.0,Sharpedge Solutions Inc,Seattle,Lombard,0,-1,1,0,1,1,1,0,1
596,Insurance Agencies & Brokerages,Data Scientist,3.3,$2 to $5 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,90,124,107.0,Ameritas Life Insurance Corp,Cincinnati,Lincoln,0,133,1,0,0,0,0,0,0
597,Staffing & Outsourcing,Data Scientist,4.9,Unknown / Non-Applicable,Business Services,51 to 200 employees,Company - Private,0,0,90,124,107.0,Cypress HCM,Kirkland,Walnut Creek,0,15,0,0,0,0,1,1,0
598,General Repair & Maintenance,Marketing Data Analyst,4.1,$50 to $100 million (USD),"Construction, Repair & Maintenance",201 to 500 employees,Company - Private,0,0,90,124,107.0,"Window Nation, LLC",Fulton,Glen Burnie,0,14,0,0,0,0,1,0,0
599,Insurance Carriers,Data Engineer,3.0,$2 to $5 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,90,124,107.0,WPS Health Solutions,Madison,Monona,0,74,1,0,0,0,1,0,0
600,Enterprise Software & Network Solutions,Data Scientist,3.4,$10 to $25 million (USD),Information Technology,201 to 500 employees,Company - Private,0,0,90,124,107.0,Infinitive Inc,McLean,Cedar Rapids,0,23,1,0,1,1,1,0,1
601,Insurance Carriers,Lead Data Scientist,3.7,$10+ billion (USD),Insurance,5001 to 10000 employees,Company - Private,0,0,90,124,107.0,MassMutual,Boston,Springfield,0,169,1,0,1,1,0,0,1
602,Brokerage Services,Data Scientist,2.9,$1 to $2 billion (USD),Finance,1001 to 5000 employees,Company - Public,0,0,90,124,107.0,IBKR,New York,Greenwich,0,-1,0,0,0,0,1,0,1
603,Farm Support Services,Data Scientist,3.5,Unknown / Non-Applicable,Agriculture & Forestry,201 to 500 employees,Company - Private,0,0,90,124,107.0,"Farmer's Business Network, Inc.",San Carlos,San Carlos,1,6,1,0,0,0,1,0,1
604,Federal Agencies,Data Scientist,3.6,$25 to $50 million (USD),Government,201 to 500 employees,Company - Private,0,0,90,124,107.0,"Culmen International, LLC",Washington,Alexandria,0,16,1,0,0,0,0,0,0
605,Financial Transaction Processing,Data Engineer,2.5,$100 to $500 million (USD),Finance,201 to 500 employees,Company - Private,0,0,90,124,107.0,Purchasing Power,Atlanta,Atlanta,1,19,1,0,1,1,1,1,0
606,Enterprise Software & Network Solutions,"Data Scientist, Acorn AI Labs",4.3,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,71,118,94.5,Medidata Solutions,Boston,New York,0,21,1,0,0,1,0,0,1
607,Sporting Goods Stores,Data Scientist #5967,3.5,$1 to $2 billion (USD),Retail,5001 to 10000 employees,Company - Private,0,0,71,118,94.5,Fanatics,San Mateo,Jacksonville,0,24,0,0,1,0,0,0,1
608,-1,Data Scientist,4.5,$10 to $25 million (USD),-1,51 to 200 employees,Company - Private,0,0,71,118,94.5,ALQIMI,Rosslyn,Rockville,0,-1,1,0,0,0,1,1,1
609,Staffing & Outsourcing,Data Scientist,4.8,$1 to $5 million (USD),Business Services,51 to 200 employees,Company - Private,0,0,71,118,94.5,Strategic Employment,Boston,Los Angeles,0,14,1,0,0,1,0,0,1
610,Advertising & Marketing,Data Scientist,3.4,Unknown / Non-Applicable,Business Services,201 to 500 employees,Company - Private,0,0,71,118,94.5,Thomas,New York,New York,1,122,1,0,0,1,0,0,1
611,Internet,Data Scientist,3.7,Unknown / Non-Applicable,Information Technology,1001 to 5000 employees,Company - Public,0,0,71,118,94.5,Cloudflare,Austin,San Francisco,0,10,1,0,1,0,0,1,1
612,Computer Hardware & Software,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",4.1,$1 to $2 billion (USD),Information Technology,5001 to 10000 employees,Company - Public,0,0,71,118,94.5,Mentor Graphics,Fremont,Wilsonville,0,39,1,0,0,0,1,0,1
613,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,71,118,94.5,AccessHope,Irwindale,-1,0,-1,1,0,0,0,1,1,1
614,Electrical & Electronic Manufacturing,SoC Modeling Engineer - ELP,3.5,$2 to $5 billion (USD),Manufacturing,5001 to 10000 employees,Company - Public,0,0,71,118,94.5,Marvell Technology,Marlborough,Santa Clara,0,25,1,0,0,0,1,0,0
615,Investment Banking & Asset Management,Data Analyst - Intex Developer,3.3,$5 to $10 billion (USD),Finance,10000+ employees,Company - Public,0,0,71,118,94.5,Macquarie Group,New York,Sydney,0,51,1,0,0,0,1,0,0
616,Computer Hardware & Software,Data Scientist,3.7,$5 to $10 billion (USD),Information Technology,10000+ employees,Company - Public,0,0,71,118,94.5,Motorola Solutions,Champaign,Chicago,0,92,0,0,0,0,0,0,1
617,Biotech & Pharmaceuticals,Scientist II or Senior Scientist T Cell Biology,4.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,51 to 200 employees,Subsidiary or Business Segment,0,0,71,118,94.5,Precigen,Germantown,Germantown,1,-1,0,0,0,0,1,0,0
618,Banks & Credit Unions,Data Engineer,3.1,$10+ billion (USD),Finance,10000+ employees,Company - Public,0,0,71,118,94.5,MUFG,Tempe,Tokyo,0,156,1,0,1,1,1,0,0
619,Food & Beverage Manufacturing,Bakery Food Scientist,3.3,Unknown / Non-Applicable,Manufacturing,501 to 1000 employees,Company - Private,0,0,71,118,94.5,Palermo's Pizza,Milwaukee,Milwaukee,1,56,0,0,0,0,0,0,0
620,Computer Hardware & Software,Data Scientist,4.1,$100 to $500 million (USD),Information Technology,501 to 1000 employees,Company - Private,0,0,71,118,94.5,iManage,Chicago,Chicago,1,5,0,0,0,0,0,0,1
621,Biotech & Pharmaceuticals,Product Validation Scientist,3.2,$50 to $100 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Public,0,0,71,118,94.5,Quanterix,Billerica,Billerica,1,13,0,0,0,0,1,0,0
622,-1,Data Scientist,-1.0,-1,-1,-1,-1,0,0,71,118,94.5,GradTests (gradtests.com),New York,-1,0,-1,1,0,0,1,0,0,0
